,Player,Year,Club
4085,Adil Rami,2006-2011,LOSC Lille
4086,Adil Rami,2011-2014,Valence CF
4087,Adil Rami,2014,AC Milan
4088,Adil Rami,2014-2015,AC Milan
4089,Adil Rami,2015-2017,Séville FC
4090,Adil Rami,2017-2019,Olympique de Marseille
4091,Adil Rami,2019-2020,Fenerbahçe SK
4092,Adil Rami,2020,FK Sotchi
4093,Adil Rami,2020-2021,Boavista FC
4094,Adil Rami,2021-2023,ESTAC Troyes
4095,Adil Rami,2010-2018,France
4096,Renaud Ripart,2011-2021,Nîmes Olympique
4097,Renaud Ripart,2014-2015,CA Bastia
4098,Renaud Ripart,2021-,ESTAC Troyes
4099,Lucien Agoume,2014-2018,FC Sochaux-Montbéliard
4100,Lucien Agoume,2018-2019,FC Sochaux-Montbéliard
4101,Lucien Agoume,2019-,Inter Milan
4102,Lucien Agoume,2020-2021,Spezia Calcio
4103,Lucien Agoume,2021-2022,Stade brestois 29
4104,Lucien Agoume,2022-2023,ESTAC Troyes
4105,Lucien Agoume,2018,France -16 ans
4106,Lucien Agoume,2018-2019,France -17 ans
4107,Lucien Agoume,2019,France -18 ans
4108,Lucien Agoume,2021-,France -20 ans
4109,Abdu Conté,2011-2017,Sporting CP
4110,Abdu Conté,2017-2018,Sporting CP B
4111,Abdu Conté,2019-2022,Moreirense FC
4112,Abdu Conté,2022-,ESTAC Troyes
4113,Abdu Conté,2014-2015,Portugal - 17 ans
4114,Abdu Conté,2016-2017,Portugal - 19 ans
4115,Abdu Conté,2017-2018,Portugal - 20 ans
4116,Abdu Conté,2021,Portugal espoirs
4117,Florian Tardieu,2001-2011,FC Istres
4118,Florian Tardieu,2011-2014,FC Istres
4119,Florian Tardieu,2014-2018,FC Sochaux-Montbéliard
4120,Florian Tardieu,2018-2019,SV Zulte Waregem
4121,Florian Tardieu,2019-,ESTAC Troyes
4122,Mateusz Lis,2013-2014,Lech Poznań
4123,Mateusz Lis,2015-2018,Lech Poznań
4124,Mateusz Lis,2015,Miedź Legnica
4125,Mateusz Lis,2016,Podbeskidzie Bielsko-Biała
4126,Mateusz Lis,2017-2018,Raków Częstochowa
4127,Mateusz Lis,2018-2021,Wisła Cracovie
4128,Mateusz Lis,2021-2022,Altay SK
4129,Mateusz Lis,2022-,Southampton FC
4130,Mateusz Lis,2022-2023,ESTAC Troyes
4131,Mateusz Lis,2023-,Göztepe SK
4132,Mateusz Lis,2015,Pologne -20 ans
4133,Ike Ugbo,2008-2016,Chelsea FC
4134,Ike Ugbo,2016-2021,Chelsea FC
4135,Ike Ugbo,2017-2018,Barnsley FC
4136,Ike Ugbo,2018,Milton Keynes Dons
4137,Ike Ugbo,2018-2019,Scunthorpe United
4138,Ike Ugbo,2019-2020,Roda JC
4139,Ike Ugbo,2020-2021,Cercle Bruges
4140,Ike Ugbo,2021-2022,KRC Genk
4141,Ike Ugbo,2022,ESTAC Troyes
4142,Ike Ugbo,2022-,ESTAC Troyes
4143,Ike Ugbo,2023-,Cardiff City
4144,Ike Ugbo,2014-2015,Angleterre -17 ans
4145,Ike Ugbo,2017,Angleterre -20 ans
4146,Ike Ugbo,2021-,Canada
4147,Papa Ndiaga Yade,2017-2018,Génération Foot
4148,Papa Ndiaga Yade,2018-2019,Génération Foot
4149,Papa Ndiaga Yade,2019-,FC Metz
4150,Papa Ndiaga Yade,2022-2023,ESTAC Troyes
4151,Banhie Zoukrou,2017-2020,ACBB
4152,Banhie Zoukrou,2020-2021,ESTAC Troyes
4153,Banhie Zoukrou,2021-,ESTAC Troyes
4154,Banhie Zoukrou,2021-2022,France -19 ans
4155,Banhie Zoukrou,2022-,France -20 ans
4156,Jeff Reine-Adélaïde,2010-2015,RC Lens
4157,Jeff Reine-Adélaïde,2015-2016,Arsenal FC
4158,Jeff Reine-Adélaïde,2016-2018,Arsenal FC
4159,Jeff Reine-Adélaïde,2018,Angers SCO
4160,Jeff Reine-Adélaïde,2018-2019,Angers SCO
4161,Jeff Reine-Adélaïde,2019-,Olympique lyonnais
4162,Jeff Reine-Adélaïde,2020-2021,OGC Nice
4163,Jeff Reine-Adélaïde,2023,ES Troyes AC
4164,Jeff Reine-Adélaïde,2014,France -16 ans
4165,Jeff Reine-Adélaïde,2014-2015,France -17 ans
4166,Jeff Reine-Adélaïde,2015-2016,France -18 ans
4167,Jeff Reine-Adélaïde,2016-2018,France -19 ans
4168,Jeff Reine-Adélaïde,2018,France -20 ans
4169,Jeff Reine-Adélaïde,2018-2020,France espoirs
4170,Tristan Dingomé,2014-2016,Royal Excel Mouscron
4171,Tristan Dingomé,2016-2018,ESTAC Troyes
4172,Tristan Dingomé,2018-2020,Stade de Reims
4173,Tristan Dingomé,2020-2023,ESTAC Troyes
4174,Tristan Dingomé,2023-,Al-Fateh SC
4175,Alexis Tibidi,2010-2018,ESA Brive
4176,Alexis Tibidi,2018-2021,Toulouse FC
4177,Alexis Tibidi,2021-2023,VfB Stuttgart
4178,Alexis Tibidi,2022-2023,SCR Altach
4179,Alexis Tibidi,2023-,ESTAC Troyes
4180,Alexis Tibidi,2019-2020,France -17 ans
4181,Ante Palaversa,2018-2019,Hajduk Split
4182,Ante Palaversa,2019-2022,Manchester City
4183,Ante Palaversa,2019,Hajduk Split
4184,Ante Palaversa,2019-2020,KV Ostende
4185,Ante Palaversa,2020-2021,Getafe CF
4186,Ante Palaversa,2021-2022,KV Courtrai
4187,Ante Palaversa,2022-,ESTAC Troyes
4188,Ante Palaversa,2014,
4189,Ante Palaversa,2015,
4190,Ante Palaversa,2015-2016,
4191,Ante Palaversa,2016,Croatie -17 ans
4192,Ante Palaversa,2018,Croatie -18 ans
4193,Ante Palaversa,2017-2019,Croatie -19 ans
4194,Ante Palaversa,2021,Croatie -20 ans
4195,Ante Palaversa,2021-,Croatie espoirs
4196,Marlos Moreno,2014-2016,Atlético Nacional
4197,Marlos Moreno,2016-2022,Manchester City
4198,Marlos Moreno,2016-2017,Deportivo La Corogne
4199,Marlos Moreno,2017-2018,Girona FC
4200,Marlos Moreno,2018,Flamengo
4201,Marlos Moreno,2019,Santos Laguna
4202,Marlos Moreno,2019-2020,Portimonense SC
4203,Marlos Moreno,2020-2021,Lommel SK
4204,Marlos Moreno,2021-2022,KV Courtrai
4205,Marlos Moreno,2022-,ESTAC Troyes
4206,Marlos Moreno,2023-,Konyaspor
4207,Marlos Moreno,2013,Colombie -17 ans
4208,Marlos Moreno,2016-,Colombie
4209,Jessy Moulin,2008-2021,AS Saint-Étienne
4210,Jessy Moulin,2008-2009,AC Arles
4211,Jessy Moulin,2009-2010,EFC Fréjus Saint-Raphaël
4212,Jessy Moulin,2011-2012,Clermont Foot
4213,Jessy Moulin,2021-,ESTAC Troyes
4214,Jessy Moulin,2001-2002,France -16 ans
4215,Jessy Moulin,2002-2003,France -17 ans
4216,Jessy Moulin,2003-2004,France -18 ans
4217,Yoann Touzghar,1991-2004,FC Avignon
4218,Yoann Touzghar,2004-2005,AS Cannes
4219,Yoann Touzghar,2005-2010,RC Grasse
4220,Yoann Touzghar,2010-2013,Amiens SC
4221,Yoann Touzghar,2012-2013,RC Lens
4222,Yoann Touzghar,2013-2015,RC Lens
4223,Yoann Touzghar,2015-2016,Club africain
4224,Yoann Touzghar,2016-2017,AJ Auxerre
4225,Yoann Touzghar,2017-2018,FC Sochaux-Montbéliard
4226,Yoann Touzghar,2018-2022,ESTAC Troyes
4227,Yoann Touzghar,2022-,AC Ajaccio
4228,Yoann Touzghar,2015-2022,Tunisie
4229,Cédric Hountondji,2006-2009,US Orléans
4230,Cédric Hountondji,2009-2013,Stade rennais
4231,Cédric Hountondji,2013-2016,Stade rennais
4232,Cédric Hountondji,2014-2015,LB Châteauroux
4233,Cédric Hountondji,2015-2016,AJ Auxerre
4234,Cédric Hountondji,2016-2018,Gazélec Ajaccio
4235,Cédric Hountondji,2018,New York City FC
4236,Cédric Hountondji,2019,Levski Sofia
4237,Cédric Hountondji,2019-2022,Clermont Foot 63
4238,Cédric Hountondji,2022-,Angers SCO
4239,Cédric Hountondji,2009,France -16 ans
4240,Cédric Hountondji,2011,France -17 ans
4241,Cédric Hountondji,2011,France -18 ans
4242,Cédric Hountondji,2013,France espoirs
4243,Cédric Hountondji,2017-,Bénin
4244,Batista Mendy,2007-2015,Saint-Nazaire AF
4245,Batista Mendy,2015-2019,FC Nantes
4246,Batista Mendy,2020-2021,FC Nantes
4247,Batista Mendy,2021-,Angers SCO
4248,Batista Mendy,2015-2016,France -16 ans
4249,Batista Mendy,2016-2017,France -17 ans
4250,Batista Mendy,2017,France -18 ans
4251,Batista Mendy,2018-2019,France -19 ans
4252,Nabil Bentaleb,2004-2009,LOSC Lille
4253,Nabil Bentaleb,2009-2010,Excelsior Mouscron
4254,Nabil Bentaleb,2010-2011,USL Dunkerque
4255,Nabil Bentaleb,2011-2013,Tottenham Hotspur
4256,Nabil Bentaleb,2013-2016,Tottenham Hotspur
4257,Nabil Bentaleb,2016-2021,Schalke 04
4258,Nabil Bentaleb,2020,Newcastle United
4259,Nabil Bentaleb,2022-,Angers SCO
4260,Nabil Bentaleb,2012,France -19 ans
4261,Nabil Bentaleb,2014-,Algérie
4262,Paul Bernardoni,2005-2011,
4263,Paul Bernardoni,2011-2013,
4264,Paul Bernardoni,2013-2015,ES Troyes AC
4265,Paul Bernardoni,2015-2016,ES Troyes AC
4266,Paul Bernardoni,2016-2020,Girondins de Bordeaux
4267,Paul Bernardoni,2017-2018,Clermont Foot 63
4268,Paul Bernardoni,2018-2020,Nîmes Olympique
4269,Paul Bernardoni,2020-,Angers SCO
4270,Paul Bernardoni,2022,AS Saint-Étienne
4271,Paul Bernardoni,2013-2014,France -17 ans
4272,Paul Bernardoni,2014-2015,France -18 ans
4273,Paul Bernardoni,2015-2016,France -19 ans
4274,Paul Bernardoni,2016-2017,France -20 ans
4275,Paul Bernardoni,2017-2019,France espoirs
4276,Paul Bernardoni,2021-,France olympique
4277,Yan Valery,2009-2013,
4278,Yan Valery,2013-2015,Stade rennais
4279,Yan Valery,2015-2018,Southampton FC
4280,Yan Valery,2018-2022,Southampton FC
4281,Yan Valery,2021,Birmingham City
4282,Yan Valery,2022-,Angers SCO
4283,Yan Valery,2015-2016,France -17 ans
4284,Yan Valery,2017,France -18 ans
4285,Yan Valery,2022-,Tunisie
4286,Adrien Hunou,2008-2009,
4287,Adrien Hunou,2007-2010,INF Clairefontaine
4288,Adrien Hunou,2010-2013,Stade rennais FC
4289,Adrien Hunou,2013-2021,Stade rennais
4290,Adrien Hunou,2014-2016,Clermont Foot 63
4291,Adrien Hunou,2021-2022,Minnesota United
4292,Adrien Hunou,2022-,Angers SCO
4293,Adrien Hunou,2012,France -18 ans
4294,Adrien Hunou,2012-2013,France -19 ans
4295,Adrien Hunou,2013-2015,France -20 ans
4296,Souleyman Doumbia,2016-2017,FC Bari 1908
4297,Souleyman Doumbia,2017,LR Vicence Virtus
4298,Souleyman Doumbia,2017-2019,Grasshopper Zurich
4299,Souleyman Doumbia,2019-2020,Stade rennais FC
4300,Souleyman Doumbia,2020,Angers SCO
4301,Souleyman Doumbia,2020-2023,Angers SCO
4302,Souleyman Doumbia,2015,Côte d'Ivoire -20 ans
4303,Souleyman Doumbia,2015,Côte d'Ivoire espoirs
4304,Souleyman Doumbia,2019-,Côte d’Ivoire
4305,Himad Abdelli,2004-2018,Le Havre AC
4306,Himad Abdelli,2018-2022,Le Havre AC
4307,Himad Abdelli,2022-,Angers SCO
4308,Himad Abdelli,2023-,Algérie
4309,Miha Blai?,2022-2023,Angers SCO
4310,Miha Blai?,2023-,Lech Poznań
4311,Miha Blai?,2011-2012,Slovénie -19 ans
4312,Miha Blai?,2013,Slovénie espoirs
4313,Miha Blai?,2018-,Slovénie
4314,Abdallah Sima,,
4315,Abdallah Sima,-2020,Thonon Évian GGFC
4316,Abdallah Sima,2020,MAS Táborsko
4317,Abdallah Sima,2020-2021,Slavia Prague
4318,Abdallah Sima,2021-,Brighton & Hove Albion
4319,Abdallah Sima,2021-2022,Stoke City
4320,Abdallah Sima,2022-2023,Angers SCO
4321,Abdallah Sima,2023-,Rangers FC
4322,Abdallah Sima,2021-,Sénégal
4323,Pierrick Capelle,2006-2007,AS Saint-Ouen-l'Aumône
4324,Pierrick Capelle,2007-2008,Stade héninois
4325,Pierrick Capelle,2008-2011,CS Avion
4326,Pierrick Capelle,2011-2012,US Quevilly
4327,Pierrick Capelle,2012-2015,Clermont Foot
4328,Pierrick Capelle,2015-,Angers SCO
4329,Azzedine Ounahi,2015-2018,Académie MVI
4330,Azzedine Ounahi,2018-2020,RC Strasbourg
4331,Azzedine Ounahi,2020-2021,US Avranches
4332,Azzedine Ounahi,2021-2023,Angers SCO
4333,Azzedine Ounahi,2023-,Olympique de Marseille
4334,Azzedine Ounahi,2018,Maroc -20 ans
4335,Azzedine Ounahi,2022-,Maroc
4336,Amine Salama,2022,USL Dunkerque
4337,Amine Salama,2022-2023,Angers SCO
4338,Amine Salama,2023-,Stade de Reims
4339,Ibrahima Niane,2015-2017,Génération Foot
4340,Ibrahima Niane,2017-2019,FC Metz B
4341,Ibrahima Niane,2017-,FC Metz
4342,Ibrahima Niane,2023-,Angers SCO
4343,Ibrahima Niane,2017-2020,Sénégal -20 ans
4344,Sofiane Boufal,1999-2005,
4345,Sofiane Boufal,2005-2013,Angers SCO
4346,Sofiane Boufal,2012-2015,Angers SCO
4347,Sofiane Boufal,2015-2016,LOSC Lille
4348,Sofiane Boufal,2016-2020,Southampton FC
4349,Sofiane Boufal,2018-2019,Celta de Vigo
4350,Sofiane Boufal,2020-2023,Angers SCO
4351,Sofiane Boufal,2023-,Al-Rayyan SC
4352,Sofiane Boufal,2016-,Maroc
4353,Farid El Melali,2016-2018,Paradou AC
4354,Farid El Melali,2018-,Angers SCO
4355,Farid El Melali,2022,Pau FC
4356,Farid El Melali,2016-2018,Algérie -20 ans
4357,Farid El Melali,2017-,Algérie olympique
4358,Farid El Melali,2018-,Algérie
4359,Abdoulaye Bamba,2001-2010,Juventus Turin
4360,Abdoulaye Bamba,2010-2016,Dijon FCO
4361,Abdoulaye Bamba,2017-,Angers SCO
4362,Abdoulaye Bamba,2016-,Côte d’Ivoire
4363,Yahia Fofana,2013-2015,Red Star FC
4364,Yahia Fofana,2015-2018,Le Havre AC
4365,Yahia Fofana,2018-2022,Le Havre AC
4366,Yahia Fofana,2022-,Angers SCO
4367,Yahia Fofana,2016,France -16 ans
4368,Yahia Fofana,2017,France -17 ans
4369,Yahia Fofana,2017-2018,France -18 ans
4370,Yahia Fofana,2018,France -19 ans
4371,Yahia Fofana,2022,France espoirs
4372,Sada Thioub,2015,OGC Nice
4373,Sada Thioub,2015-2016,EA Guingamp
4374,Sada Thioub,2015-2016,CA Bastia
4375,Sada Thioub,2016-2019,Nîmes Olympique
4376,Sada Thioub,2019-2023,Angers SCO
4377,Sada Thioub,2022,AS Saint-Étienne
4378,Sada Thioub,2019-,Sénégal
4379,Ousmane Camara,2020-2022,Paris FC
4380,Ousmane Camara,2022-,Angers SCO
4381,Ousmane Camara,2021-,France -19 ans
4382,Faouzi Ghoulam,1999-2010,AS Saint-Étienne
4383,Faouzi Ghoulam,2010-2014,AS Saint-Étienne
4384,Faouzi Ghoulam,2014-2022,SSC Naples
4385,Faouzi Ghoulam,2023-,Angers SCO
4386,Faouzi Ghoulam,2012,France espoirs
4387,Faouzi Ghoulam,2013-,Algérie
4388,Lois Diony,2004-2011,Girondins de Bordeaux
4389,Lois Diony,2011-2012,FC Nantes
4390,Lois Diony,2012-2013,FC Nantes
4391,Lois Diony,2013-2014,Stade montois
4392,Lois Diony,2014-2017,Dijon FCO
4393,Lois Diony,2017-2020,AS Saint-Étienne
4394,Lois Diony,2018,Bristol City
4395,Lois Diony,2020-,Angers SCO
4396,Lois Diony,2021-2022,Étoile rouge de Belgrade
4397,Halid abanovi?,2016-2018,FK Sarajevo Académie
4398,Halid abanovi?,2018-2022,FK Sarajevo
4399,Halid abanovi?,2021,FK Mladost Doboj Kakanj
4400,Halid abanovi?,2022-,Angers SCO
4401,Halid abanovi?,2017-2018,Bosnie-Herzégovine -19 ans
4402,Halid abanovi?,2018,Bosnie-Herzégovine espoirs
4403,Ibrahim Amadou,2008-2012,AS Nancy-Lorraine
4404,Ibrahim Amadou,2012-2015,AS Nancy-Lorraine
4405,Ibrahim Amadou,2015-2018,LOSC Lille
4406,Ibrahim Amadou,2018-2022,Séville FC
4407,Ibrahim Amadou,2019-2020,Norwich City
4408,Ibrahim Amadou,2020,CD Leganés
4409,Ibrahim Amadou,2020-2021,Angers SCO
4410,Ibrahim Amadou,2022,FC Metz
4411,Ibrahim Amadou,2022-2023,Angers SCO
4412,Ibrahim Amadou,2023-,Shanghai Shenhua
4413,Ibrahim Amadou,2012,France -19 ans
4414,Jean Mattéo Bahoya,2011-2012,
4415,Jean Mattéo Bahoya,2014-2023,Angers SCO
4416,Jean Mattéo Bahoya,2023-,Angers SCO
4417,Jean Mattéo Bahoya,2022-,France -18 ans
4418,Ilyes Cheti,2013-2014,USM Annaba
4419,Ilyes Cheti,2014-2017,US Chaouia
4420,Ilyes Cheti,2017-2019,JS Kabylie
4421,Ilyes Cheti,2019-2022,ES Tunis
4422,Ilyes Cheti,2022-2023,Angers SCO
4423,Ilyes Cheti,2023-,Wydad AC
4424,Ilyes Cheti,2018-,Algérie
4425,Waniss Taibi,2012-2017,Limoges FC
4426,Waniss Taibi,2017-2021,Angers SCO
4427,Waniss Taibi,2021-2023,Angers SCO
4428,Waniss Taibi,2023-,Rodez AF
4429,Waniss Taibi,2019,France -17 ans
4430,Waniss Taibi,2019-2020,France -18 ans
4431,Waniss Taibi,2021,France -20 ans
4432,Antonin Bobichon,2006-2010,FC Bagnols-Pont
4433,Antonin Bobichon,2010-2014,Nîmes Olympique
4434,Antonin Bobichon,2014-2019,Nîmes Olympique
4435,Antonin Bobichon,2016-2017,CA Bastia
4436,Antonin Bobichon,2019-2023,Angers SCO
4437,Antonin Bobichon,2022,AS Nancy-Lorraine
4438,Antonin Bobichon,2023-,Stade lavallois
4439,Antonin Bobichon,2011,France -16 ans
4440,Gianluigi Donnarumma,2013-2015,AC Milan
4441,Gianluigi Donnarumma,2015-2021,AC Milan
4442,Gianluigi Donnarumma,2021-,Paris Saint-Germain
4443,Gianluigi Donnarumma,2014,Italie -15 ans
4444,Gianluigi Donnarumma,2014,Italie -16 ans
4445,Gianluigi Donnarumma,2014-2015,Italie -17 ans
4446,Gianluigi Donnarumma,2016-2017,Italie espoirs
4447,Gianluigi Donnarumma,2016-,Italie
4448,Marquinhos,2002-2011,SC Corinthians
4449,Marquinhos,2012,SC Corinthians
4450,Marquinhos,2012-2013,AS Rome
4451,Marquinhos,2013-,Paris Saint-Germain
4452,Marquinhos,2010-2011,Brésil -17 ans
4453,Marquinhos,2013-2014,Brésil -20 ans
4454,Marquinhos,2016,Brésil olympique
4455,Marquinhos,2013-,Brésil
4456,Lionel Messi,2000-2003,FC Barcelone
4457,Lionel Messi,2003-2004,FC Barcelone C
4458,Lionel Messi,2004-2005,FC Barcelone B
4459,Lionel Messi,2004-2021,FC Barcelone
4460,Lionel Messi,2021-2023,Paris Saint-Germain
4461,Lionel Messi,2004-2005,Argentine -20 ans
4462,Lionel Messi,2008,Argentine olympique
4463,Lionel Messi,2005-,Argentine
4464,Kylian Mbappé,2011-2013,INF Clairefontaine
4465,Kylian Mbappé,2013-2015,AS Monaco
4466,Kylian Mbappé,2015-2016,AS Monaco B
4467,Kylian Mbappé,2015-2018,AS Monaco
4468,Kylian Mbappé,2017-2018,Paris Saint-Germain
4469,Kylian Mbappé,2018-,Paris Saint-Germain
4470,Kylian Mbappé,2014,France -17 ans
4471,Kylian Mbappé,2016,France -19 ans
4472,Kylian Mbappé,2017-,France
4473,Sergio Ramos,2003-2004,Seville Atlético
4474,Sergio Ramos,2004-2005,Séville FC
4475,Sergio Ramos,2005-2021,Real Madrid
4476,Sergio Ramos,2021-2023,Paris Saint-Germain
4477,Sergio Ramos,2002,Espagne -17 ans
4478,Sergio Ramos,2004,Espagne -19 ans
4479,Sergio Ramos,2004,Espagne espoirs
4480,Sergio Ramos,2005-2021,Espagne
4481,Vitinha,2012-2017,
4482,Vitinha,2017-2020,SC Braga
4483,Vitinha,2020-2023,SC Braga
4484,Vitinha,2023-,Olympique de Marseille
4485,Vitinha,2018,Portugal -18 ans
4486,Vitinha,2021-,Portugal espoirs
4487,Danilo Pereira,2005-2008,GD Estoril Praia
4488,Danilo Pereira,2008-2010,Benfica Lisbonne
4489,Danilo Pereira,2010-2013,Parme FC
4490,Danilo Pereira,2011,Aris Salonique
4491,Danilo Pereira,2012-2013,Roda JC
4492,Danilo Pereira,2013-2015,CS Marítimo
4493,Danilo Pereira,2015-2020,FC Porto
4494,Danilo Pereira,2020-,Paris Saint-Germain
4495,Danilo Pereira,2009,Portugal -18 ans
4496,Danilo Pereira,2009-2010,Portugal -19 ans
4497,Danilo Pereira,2010-2011,Portugal -20 ans
4498,Danilo Pereira,2012,Portugal espoirs
4499,Danilo Pereira,2015-,Portugal
4500,Marco Verratti,2005-2008,Delfino Pescara
4501,Marco Verratti,2008-2012,Delfino Pescara
4502,Marco Verratti,2012-,Paris Saint-Germain
4503,Marco Verratti,2010-2011,Italie -19 ans
4504,Marco Verratti,2011-2012,Italie -20 ans
4505,Marco Verratti,2012-2013,Italie espoirs
4506,Marco Verratti,2012-,Italie
4507,Achraf Hakimi,2006-2017,Real Madrid Castilla
4508,Achraf Hakimi,2017-2020,Real Madrid
4509,Achraf Hakimi,2018-2020,Borussia Dortmund
4510,Achraf Hakimi,2020-2021,Inter Milan
4511,Achraf Hakimi,2021-,Paris Saint-Germain
4512,Achraf Hakimi,2015-2016,Maroc -20 ans
4513,Achraf Hakimi,2015-2016,Maroc olympique
4514,Achraf Hakimi,2016-,Maroc
4515,Fabián Ruiz Peña,2014-2016,Real Betis B
4516,Fabián Ruiz Peña,2014-2018,Real Betis
4517,Fabián Ruiz Peña,2017,Elche CF
4518,Fabián Ruiz Peña,2018-2022,SSC Naples
4519,Fabián Ruiz Peña,2022-,Paris Saint-Germain
4520,Fabián Ruiz Peña,2015,Espagne -19 ans
4521,Fabián Ruiz Peña,2017-,Espagne espoirs
4522,Fabián Ruiz Peña,2019-,Espagne
4523,Nuno Mendes,2011-2019,Sporting CP
4524,Nuno Mendes,2019-2021,Sporting CP
4525,Nuno Mendes,2021-,Paris Saint-Germain
4526,Nuno Mendes,2018,Portugal -16 ans
4527,Nuno Mendes,2018,Portugal -17 ans
4528,Nuno Mendes,2019,Portugal -18 ans
4529,Nuno Mendes,2019,Portugal -19 ans
4530,Nuno Mendes,2020,Portugal espoirs
4531,Nuno Mendes,2021-,Portugal
4532,Neymar,1999-2003,Portuguesa Santista
4533,Neymar,2003-2009,Santos FC
4534,Neymar,2009-2013,Santos FC
4535,Neymar,2013-2017,FC Barcelone
4536,Neymar,2017-,Paris Saint-Germain
4537,Neymar,2009-2009,Brésil - 17 ans
4538,Neymar,2011-2011,Brésil - 20 ans
4539,Neymar,2012-2016,Brésil olympique
4540,Neymar,2010-,Brésil
4541,Juan Bernat,2010,Valencia CF Mestalla
4542,Juan Bernat,2011-2014,Valence CF
4543,Juan Bernat,2014-2018,Bayern Munich
4544,Juan Bernat,2018-,Paris Saint-Germain
4545,Juan Bernat,2009-2010,Espagne - 17 ans
4546,Juan Bernat,2012,Espagne - 19 ans
4547,Juan Bernat,2013,Espagne - 20 ans
4548,Juan Bernat,2013-2014,Espagne espoirs
4549,Juan Bernat,2014-,Espagne
4550,Carlos Soler,2004-2015,Valence CF
4551,Carlos Soler,2015-2016,Valence Mestalla
4552,Carlos Soler,2016-2022,Valence CF
4553,Carlos Soler,2022-,Paris Saint-Germain
4554,Carlos Soler,2016,Espagne -19 ans
4555,Carlos Soler,2017-2019,Espagne espoirs
4556,Carlos Soler,2021,Espagne olympique
4557,Carlos Soler,2021-,Espagne
4558,Nordi Mukiele,2004-2013,Paris FC
4559,Nordi Mukiele,2013-2014,Stade lavallois
4560,Nordi Mukiele,2014-2017,Stade lavallois
4561,Nordi Mukiele,2017-2018,Montpellier HSC
4562,Nordi Mukiele,2018-2022,RB Leipzig
4563,Nordi Mukiele,2022-,Paris Saint-Germain
4564,Nordi Mukiele,2015,France -18 ans
4565,Nordi Mukiele,2016,France -19 ans
4566,Nordi Mukiele,2016-2017,France -20 ans
4567,Nordi Mukiele,2017-2019,France espoirs
4568,Nordi Mukiele,2021-,France
4569,Hugo Ekitike,2013-2020,Stade de Reims
4570,Hugo Ekitike,2020-2023,Stade de Reims
4571,Hugo Ekitike,2021,Vejle BK
4572,Hugo Ekitike,2022-2023,Paris Saint-Germain
4573,Hugo Ekitike,2023-,Paris Saint-Germain
4574,Hugo Ekitike,2021-,France -20 ans
4575,Presnel Kimpembe,2005-2014,Paris Saint-Germain
4576,Presnel Kimpembe,2014-,Paris Saint-Germain
4577,Presnel Kimpembe,2014,RD Congo -20 ans
4578,Presnel Kimpembe,2015,France -20 ans
4579,Presnel Kimpembe,2015-2016,France espoirs
4580,Presnel Kimpembe,2018-,France
4581,Warren Zaire-Emery,2011-2014,FCM Aubervilliers
4582,Warren Zaire-Emery,2014-2022,Paris Saint-Germain
4583,Warren Zaire-Emery,2022-,Paris Saint-Germain
4584,Warren Zaire-Emery,2021,France -16 ans
4585,Warren Zaire-Emery,2022,France -17 ans
4586,Warren Zaire-Emery,2022-,France -18 ans
4587,Warren Zaire-Emery,2022-,France -19 ans
4588,Renato Sanches,2006-2015,Benfica Lisbonne
4589,Renato Sanches,2014-2015,Benfica Lisbonne B
4590,Renato Sanches,2015-2016,Benfica Lisbonne
4591,Renato Sanches,2016-2019,Bayern Munich
4592,Renato Sanches,2017-2018,Swansea City
4593,Renato Sanches,2019-2022,LOSC Lille
4594,Renato Sanches,2022-,Paris Saint-Germain
4595,Renato Sanches,2013-2015,Portugal -17 ans
4596,Renato Sanches,2014-2017,Portugal -19 ans
4597,Renato Sanches,2017-2019,Portugal espoirs
